id,ident,name,continent,iso_country,municipality,is_ue
5886,SBCJ,Carajás Airport,SA,BR,Parauapebas,0
5887,SBCM,Forquilhinha - Criciúma  Airport,SA,BR,Criciúma,0
5888,SBCO,Canoas Air Force Base,SA,BR,Porto Alegre,0
5889,SBCP,Bartolomeu Lisandro Airport,SA,BR,Campos dos Goytacazes,0
5890,SBCR,Corumbá International Airport,SA,BR,Corumbá,0
5891,SBCT,Curitiba-Afonso Pena International Airport,SA,BR,Curitiba,0
5892,SBCV,Caravelas Airport,SA,BR,Caravelas,0
5893,SBCX,Hugo Cantergiani Regional Airport,SA,BR,Caxias Do Sul,0
5894,SBCY,Várzea Grande–Marechal Rondon International Airport,SA,BR,Cuiabá,0
5895,SBCZ,Cruzeiro do Sul Airport,SA,BR,Cruzeiro Do Sul,0
5896,SBDN,Presidente Prudente Airport,SA,BR,Presidente Prudente,0
5897,SBEG,Eduardo Gomes International Airport,SA,BR,Manaus,0
